centroid_x,centroid_y,radius_500
388736.0175433213,59156.7851769742,
388774.52659466193,59274.95642787896,
384405.25009050226,59386.62021758143,
384434.5133043938,59822.68581557657,
383013.3835829481,59620.74389297721,
382534.0944376735,60228.58226833101,
383358.6313193737,59294.243963037545,
383657.651873999,60557.24122292813,
383475.78727643326,61038.315240825716,
384127.75628762064,60267.305216081906,
384166.2854492035,60385.440256732385,
383110.51588141697,60610.90669475805,87.0
383149.0492234305,60729.032355656804,87.0
383619.1206218019,60439.11087198519,
383730.1308503891,56623.646440531775,
387843.126607309,59537.05304201972,
383805.5610222486,64126.037864256454,
382087.54253785807,64050.590878458795,
382788.61327915126,64469.31606017357,
383440.3648876769,63698.754378742495,
383478.888699265,63816.838245214065,
383595.9969050872,65559.9055014443,
384381.8556725921,64508.27082181929,
384122.97096756316,64752.93930804381,
382482.0373353729,64913.58583969296,
382511.34139765543,65349.31087052629,
383172.2632546692,64261.16446386349,
383575.9668505553,64806.490113862164,
384630.04138455127,63192.25360545687,
384668.56057478674,63310.34990605157,
384811.9324682305,62711.30946982765,
384850.45198245824,62829.413327439455,
384928.9064078584,64454.711115905375,
384765.57234099583,64300.1097019498,
385426.8146654185,63211.69940669067,
383807.21125390864,56860.013545621805,
383865.6145221123,66386.28365919729,
382569.94464581966,66220.68921969541,
382751.7052647853,65739.99247132956,
382781.000512723,66175.6756595035,
383357.1986266787,66557.83433268005,
383395.71554510546,66675.87773944612,
384689.97835904866,65452.8432063722,
384508.12601564755,65933.59405419865,
385035.1717821648,65126.6481926193,
381885.67821729404,63777.92530106298,
382096.75551662146,63732.87894202454,
382230.7769951928,63451.66937448233,
386017.8216353637,58789.38872762786,
384298.9211904329,58714.217059539755,
385000.2947244234,59133.1327800878,
385807.9373792667,60224.4168083675,
386594.35949462285,59171.80810904313,
386335.30419936375,59416.71797064612,
384693.4939797505,59577.8091605047,
384722.74910406186,60013.86877050941,
385384.1747863317,58924.74400300344,
385788.0078944404,59470.416961200135,
382532.4565371005,58838.84394765721,
382155.3872029081,64604.424641483725,
383078.0436212953,57395.10151276358,
382598.6786192077,58003.15797167438,
383722.4061767955,58331.820190986495,43.0
383423.34551477834,57068.47716998972,
382579.16678535036,65903.06257982824,
383540.5116933133,58813.05044152435,43.0
383213.72510829207,58503.70389436386,
383175.1864014054,58385.54676869004,
381369.8197683352,65655.95935219368,
381206.5055916427,65501.39662961976,
383683.8695604384,58213.65837325041,
384138.5060224725,61339.03029076324,
383659.1859403703,61946.725738833455,
382238.328598668,61744.735460813776,
383591.377097674,61392.67472929296,
383332.4668927628,61637.46628689993,
383737.7665973741,63572.13627749126,
384235.56144683284,62329.01860413783,
384274.0848045994,62447.12523620535,
382662.1840392762,63043.81838731985,
383025.80467570655,62081.94184656748,
383726.9901463985,62500.73940398432,
386077.5733914638,61051.387899801426,
384781.25448330835,60885.91626474678,
384522.2932050569,61130.73916192964,
384963.1803771609,60404.80870228409,
384992.42668515426,60840.82646208909,
385588.8058651869,61976.993659897256,
385992.55590247293,62522.499095015555,
386654.0257031111,61433.743667649986,
384916.7965005694,61994.10133317683,
384782.68492672575,62275.39928518385,
386739.11826512346,59962.38338014501,
385568.8679959325,61223.17147265375,
385607.38754553354,61341.299580792416,
386768.3178446748,60398.454836325174,
387429.9754735307,59309.31421278185,
386950.34011433664,59917.278450605554,
382438.5726354795,60628.05356469655,
387526.8511501062,60299.68007050853,
387565.36330897367,60417.82989193522,
383992.1486716412,59158.91141718711,43.0
383810.2519144408,59640.088765695,
382379.94076603,59756.05373424213,
382418.47992410604,59874.18809042813,
383444.9469853345,59212.615528234775,
383483.48223751516,59330.76228028025,
383888.8290250598,61265.99220067155,
384386.71839017584,60022.44972166212,
384415.98087610275,60458.47946033663,
382994.91289480106,60256.520819770965,
382515.6454184412,60864.29688964415,87.0
383176.7650536448,59775.40075572036,
383855.00647799874,56660.16567312347,
387689.0715491874,59064.39050595599,
387727.5860541654,59182.558365133766,
387180.2195091229,59236.26492413803,
383930.3749480788,64162.556326736376,
382634.50802082184,63997.0206725346,
382375.67671053245,64241.69542876851,
382816.2984917358,63516.16771510984,
382845.59630109835,63951.97639352159,
383441.9188459411,65087.65679007098,
383845.59864099533,65632.94159146005,
384506.67039885063,64544.79016684951,
382636.13625391084,65385.82709512382,
382770.15847175964,65104.6811297315,
383421.880691394,64334.19950735485,
383460.40297100897,64452.27438289828,
384754.86873498355,63228.77351603384,
384572.98651376547,63709.68057507164,
385263.46616264945,63057.077373650005,
385100.11629413546,62902.454149498255,
385696.410542932,64038.365448163946,
385149.31061524345,64091.93724989809,
385178.5448397868,64527.751780920335,
385839.8273906224,63439.363325734994,
385360.4447259197,64046.891126805516,
383711.5502712382,65914.07646610517,
382694.7326794182,66257.2054327442,
382905.7903755274,66212.19221781343,
383039.81296157755,65931.07805248216,
383481.9892932387,66594.35177070834,
383300.20576185844,67075.00177882933,
384354.0699147095,65461.34995148346,
384095.2026057038,65705.9784671542,
384671.44186856307,66088.1707871241,
382219.8943786926,62380.31596797379,
382643.7329601583,63679.30000953774,
386142.6950541075,58825.91143735709,
384587.177014837,58905.41475960364,
385057.3835644432,58615.37804983696,
385653.8488006329,59751.82927444101,
386057.65808147204,60297.4613865167,
386719.2337067025,59208.33170944732,
384847.6034535999,60050.389222631406,
384981.73674549325,59768.99760999877,
385633.9112149816,58997.78752413848,
385672.4361252131,59115.94710754473,
382503.14047849143,58402.75439856761,
381522.2024711474,64739.5252480766,
381560.7331530911,64857.58591797115,
380832.1551834193,65391.85550582648,
383875.03355545463,57414.38599638963,
383509.67472105986,56986.81763217407,
383548.2153383536,57104.99584965679,
382136.9601782389,65239.76337782888,
383953.61551015737,59040.759974116554,43.0
381590.0619872148,65293.29903178642,
383059.5673194174,58031.06650069614,
